Valår,Kod,Kommun,Styre,M,C,L,KD,S,V,MP,SD,ÖP
1994,114,Upplands väsby,V,,,,,S,V,,,
1995,114,Upplands väsby,V,,,,,S,V,,,
1996,114,Upplands väsby,V,,,,,S,V,,,
1997,114,Upplands väsby,V,,,,,S,V,,,
1994,115,Vallentuna,B,M,C,,KD,,,,,
1995,115,Vallentuna,B,M,C,,KD,,,,,
1996,115,Vallentuna,B,M,C,,KD,,,,,
1997,115,Vallentuna,B,M,C,,KD,,,,,
1994,117,Österåker,BL,,,L,,S,,,,
1995,117,Österåker,BL,,,L,,S,,,,
1996,117,Österåker,BL,,,L,,S,,,,
1997,117,Österåker,BL,,,L,,S,,,,
1994,120,Värmdö,B,M,C,L,,,,MP,,
1995,120,Värmdö,B,M,C,L,,,,MP,,
1996,120,Värmdö,B,M,C,L,,,,MP,,
1997,120,Värmdö,B,M,C,L,,,,MP,,
1994,123,Järfälla,V,,,,,S,V,MP,,
1995,123,Järfälla,V,,,,,S,V,MP,,
1996,123,Järfälla,V,,,,,S,V,MP,,
1997,123,Järfälla,V,,,,,S,V,MP,,
1994,125,Ekerö,B,M,C,L,KD,,,,,
1995,125,Ekerö,B,M,C,L,KD,,,,,
1996,125,Ekerö,B,M,C,L,KD,,,,,
1997,125,Ekerö,B,M,C,L,KD,,,,,
1994,126,Huddinge,V,,,,,S,V,MP,,
1995,126,Huddinge,V,,,,,S,V,MP,,
1996,126,Huddinge,V,,,,,S,V,MP,,
1997,126,Huddinge,V,,,,,S,V,MP,,
1994,127,Botkyrka,V,,,,,S,V,MP,,
1995,127,Botkyrka,V,,,,,S,V,MP,,
1996,127,Botkyrka,V,,,,,S,V,MP,,
1997,127,Botkyrka,V,,,,,S,V,MP,,
1994,128,Salem,B,M,C,L,KD,,,,,
1995,128,Salem,B,M,C,L,KD,,,,,
1996,128,Salem,B,M,C,L,KD,,,,,
1997,128,Salem,B,M,C,L,KD,,,,,
1994,136,Haninge,BL,,,L,,S,,,,
1995,136,Haninge,BL,,,L,,S,,,,
1996,136,Haninge,BL,,,L,,S,,,,
1997,136,Haninge,BL,,,L,,S,,,,
1994,138,Tyresö,V,,,,,S,V,MP,,
1995,138,Tyresö,V,,,,,S,V,MP,,
1996,138,Tyresö,V,,,,,S,V,MP,,
1997,138,Tyresö,V,,,,,S,V,MP,,
1994,139,Upplands-Bro,V,,,,,S,V,,,
1995,139,Upplands-Bro,V,,,,,S,V,,,
1996,139,Upplands-Bro,V,,,,,S,V,,,
1997,139,Upplands-Bro,V,,,,,S,V,,,
1994,140,Nykvarn,Ännu inte bildad,,,,,,,,,
1995,140,Nykvarn,Ännu inte bildad,,,,,,,,,
1996,140,Nykvarn,Ännu inte bildad,,,,,,,,,
1997,140,Nykvarn,Ännu inte bildad,,,,,,,,,
1994,160,Täby,B,M,C,,KD,,,,,ÖP
1995,160,Täby,B,M,C,,KD,,,,,ÖP
1996,160,Täby,B,M,C,,KD,,,,,ÖP
1997,160,Täby,B,M,C,,KD,,,,,ÖP
1994,162,Danderyd,B,M,,,KD,,,,,
1995,162,Danderyd,B,M,,,KD,,,,,
1996,162,Danderyd,B,M,,,KD,,,,,
1997,162,Danderyd,B,M,,,KD,,,,,
1994,163,Sollentuna,B,M,C,L,KD,,,,,
1995,163,Sollentuna,B,M,C,L,KD,,,,,
1996,163,Sollentuna,B,M,C,L,KD,,,,,
1997,163,Sollentuna,B,M,C,L,KD,,,,,
1994,180,Stockholm,V,,,,,S,V,MP,,
1995,180,Stockholm,V,,,,,S,V,MP,,
1996,180,Stockholm,V,,,,,S,V,MP,,
1997,180,Stockholm,V,,,,,S,V,MP,,
1994,181,Södertälje,V,,,,,S,V,,,
1995,181,Södertälje,V,,,,,S,V,,,
1996,181,Södertälje,V,,,,,S,V,,,
1997,181,Södertälje,V,,,,,S,V,,,
1994,182,Nacka,B,M,,L,,,,,,
1995,182,Nacka,B,M,,L,,,,,,
1996,182,Nacka,B,M,,L,,,,,,
1997,182,Nacka,B,M,,L,,,,,,
1994,183,Sundbyberg,V,,,,,S,V,,,
1995,183,Sundbyberg,V,,,,,S,V,,,
1996,183,Sundbyberg,V,,,,,S,V,,,
1997,183,Sundbyberg,V,,,,,S,V,,,
1994,184,Solna,V,,,,,S,V,MP,,
1995,184,Solna,V,,,,,S,V,MP,,
1996,184,Solna,V,,,,,S,V,MP,,
1997,184,Solna,V,,,,,S,V,MP,,
1994,186,Lidingö,B,M,,,,,,,,
1995,186,Lidingö,B,M,,,,,,,,
1996,186,Lidingö,B,M,,,,,,,,
1997,186,Lidingö,B,M,,,,,,,,
1994,187,Vaxholm,B,M,C,L,,,,,,
1995,187,Vaxholm,B,M,C,L,,,,,,
1996,187,Vaxholm,B,M,C,L,,,,,,
1997,187,Vaxholm,B,M,C,L,,,,,,
1994,188,Norrtälje,V,,,,,S,V,MP,,
1995,188,Norrtälje,V,,,,,S,V,MP,,
1996,188,Norrtälje,V,,,,,S,V,MP,,
1997,188,Norrtälje,V,,,,,S,V,MP,,
1994,191,Sigtuna,V,,,,,S,V,MP,,
1995,191,Sigtuna,V,,,,,S,V,MP,,
1996,191,Sigtuna,V,,,,,S,V,MP,,
1997,191,Sigtuna,V,,,,,S,V,MP,,
1994,192,Nynäshamn,V,,,,,S,V,MP,,
1995,192,Nynäshamn,V,,,,,S,V,MP,,
1996,192,Nynäshamn,V,,,,,S,V,MP,,
1997,192,Nynäshamn,V,,,,,S,V,MP,,
1994,305,Håbo,BL,,C,,,S,V,MP,,
1995,305,Håbo,BL,,C,,,S,V,MP,,
1996,305,Håbo,BL,,C,,,S,V,MP,,
1997,305,Håbo,BL,,C,,,S,V,MP,,
1994,319,Älvkarleby,V,,,,,S,V,,,
1995,319,Älvkarleby,V,,,,,S,V,,,
1996,319,Älvkarleby,V,,,,,S,V,,,
1997,319,Älvkarleby,V,,,,,S,V,,,
1994,331,Heby,V,,,,,S,V,MP,,
1995,331,Heby,V,,,,,S,V,MP,,
1996,331,Heby,V,,,,,S,V,MP,,
1997,331,Heby,V,,,,,S,V,MP,,
1994,360,Tierp,V,,,,,S,,,,
1995,360,Tierp,V,,,,,S,,,,
1996,360,Tierp,V,,,,,S,,,,
1997,360,Tierp,V,,,,,S,,,,
1994,380,Uppsala,V,,,,,S,V,MP,,
1995,380,Uppsala,V,,,,,S,V,MP,,
1996,380,Uppsala,V,,,,,S,V,MP,,
1997,380,Uppsala,V,,,,,S,V,MP,,
1994,381,Enköping,V,,,,,S,V,MP,,
1995,381,Enköping,V,,,,,S,V,MP,,
1996,381,Enköping,V,,,,,S,V,MP,,
1997,381,Enköping,V,,,,,S,V,MP,,
1994,382,Östhammar,V,,,,,S,V,,,
1995,382,Östhammar,V,,,,,S,V,,,
1996,382,Östhammar,V,,,,,S,V,,,
1997,382,Östhammar,V,,,,,S,V,,,
1994,428,Vingåker,V,,,,,S,,,,
1995,428,Vingåker,V,,,,,S,,,,
1996,428,Vingåker,V,,,,,S,,,,
1997,428,Vingåker,V,,,,,S,,,,
1994,461,Gnesta,BL,,C,,,S,,,,
1995,461,Gnesta,BL,,C,,,S,,,,
1996,461,Gnesta,BL,,C,,,S,,,,
1997,461,Gnesta,BL,,C,,,S,,,,
1994,480,Nyköping,V,,,,,S,,,,
1995,480,Nyköping,V,,,,,S,,,,
1996,480,Nyköping,V,,,,,S,,,,
1997,480,Nyköping,V,,,,,S,,,,
1994,481,Oxelösund,V,,,,,S,,,,
1995,481,Oxelösund,V,,,,,S,,,,
1996,481,Oxelösund,V,,,,,S,,,,
1997,481,Oxelösund,V,,,,,S,,,,
1994,482,Flen,V,,,,,S,V,,,
1995,482,Flen,V,,,,,S,V,,,
1996,482,Flen,V,,,,,S,V,,,
1997,482,Flen,V,,,,,S,V,,,
1994,483,Katrineholm,V,,,,,S,,,,
1995,483,Katrineholm,V,,,,,S,,,,
1996,483,Katrineholm,V,,,,,S,,,,
1997,483,Katrineholm,V,,,,,S,,,,
1994,484,Eskilstuna,V,,,,,S,,,,
1995,484,Eskilstuna,V,,,,,S,,,,
1996,484,Eskilstuna,V,,,,,S,,,,
1997,484,Eskilstuna,V,,,,,S,,,,
1994,486,Strängnäs,B,M,C,L,KD,,,,,ÖP
1995,486,Strängnäs,B,M,C,L,KD,,,,,ÖP
1996,486,Strängnäs,B,M,C,L,KD,,,,,ÖP
1997,486,Strängnäs,B,M,C,L,KD,,,,,ÖP
1994,488,Trosa,V,,,,,S,V,MP,,
1995,488,Trosa,V,,,,,S,V,MP,,
1996,488,Trosa,V,,,,,S,V,MP,,
1997,488,Trosa,V,,,,,S,V,MP,,
1994,509,Ödeshög,BL,,,,,,,,,
1995,509,Ödeshög,BL,,,,,,,,,
1996,509,Ödeshög,BL,,,,,,,,,
1997,509,Ödeshög,BL,,,,,,,,,
1994,512,Ydre,BL,,,,,,,,,
1995,512,Ydre,BL,,,,,,,,,
1996,512,Ydre,BL,,,,,,,,,
1997,512,Ydre,BL,,,,,,,,,
1994,513,Kinda,V,,,,,S,,,,ÖP
1995,513,Kinda,V,,,,,S,,,,ÖP
1996,513,Kinda,V,,,,,S,,,,ÖP
1997,513,Kinda,V,,,,,S,,,,ÖP
1994,560,Boxholm,V,,,,,S,,,,
1995,560,Boxholm,V,,,,,S,,,,
1996,560,Boxholm,V,,,,,S,,,,
1997,560,Boxholm,V,,,,,S,,,,
1994,561,Åtvidaberg,V,,,,,S,,,,
1995,561,Åtvidaberg,V,,,,,S,,,,
1996,561,Åtvidaberg,V,,,,,S,,,,
1997,561,Åtvidaberg,V,,,,,S,,,,
1994,562,Finspång,V,,,,,S,,,,
1995,562,Finspång,V,,,,,S,,,,
1996,562,Finspång,V,,,,,S,,,,
1997,562,Finspång,V,,,,,S,,,,
1994,563,Valdemarsvik,B,M,C,L,KD,,,,,
1995,563,Valdemarsvik,B,M,C,L,KD,,,,,
1996,563,Valdemarsvik,B,M,C,L,KD,,,,,
1997,563,Valdemarsvik,B,M,C,L,KD,,,,,
1994,580,Linköping,BL,,C,,,S,,,,
1995,580,Linköping,BL,,C,,,S,,,,
1996,580,Linköping,BL,,C,,,S,,,,
1997,580,Linköping,BL,,C,,,S,,,,
1994,581,Norrköping,V,,,,,S,,,,
1995,581,Norrköping,V,,,,,S,,,,
1996,581,Norrköping,V,,,,,S,,,,
1997,581,Norrköping,V,,,,,S,,,,
1994,582,Söderköping,B,M,C,L,KD,,,,,
1995,582,Söderköping,B,M,C,L,KD,,,,,
1996,582,Söderköping,B,M,C,L,KD,,,,,
1997,582,Söderköping,B,M,C,L,KD,,,,,
1994,583,Motala,V,,,,,S,,,,
1995,583,Motala,V,,,,,S,,,,
1996,583,Motala,V,,,,,S,,,,
1997,583,Motala,V,,,,,S,,,,
1994,584,Vadstena,BL,,C,,,S,,,,
1995,584,Vadstena,BL,,C,,,S,,,,
1996,584,Vadstena,BL,,C,,,S,,,,
1997,584,Vadstena,BL,,C,,,S,,,,
1994,586,Mjölby,BL,,C,,,S,,,,
1995,586,Mjölby,BL,,C,,,S,,,,
1996,586,Mjölby,BL,,C,,,S,,,,
1997,586,Mjölby,BL,,C,,,S,,,,
1994,604,Aneby,B,M,C,L,KD,,,,,
1995,604,Aneby,B,M,C,L,KD,,,,,
1996,604,Aneby,B,M,C,L,KD,,,,,
1997,604,Aneby,B,M,C,L,KD,,,,,
1994,617,Gnosjö,A,M,C,L,KD,,,,,
1995,617,Gnosjö,A,M,C,L,KD,,,,,
1996,617,Gnosjö,A,M,C,L,KD,,,,,
1997,617,Gnosjö,A,M,C,L,KD,,,,,
1994,642,Mullsjö,B,M,C,L,KD,,,,,
1995,642,Mullsjö,B,M,C,L,KD,,,,,
1996,642,Mullsjö,B,M,C,L,KD,,,,,
1997,642,Mullsjö,B,M,C,L,KD,,,,,
1994,643,Habo,B,M,C,L,KD,,,,,
1995,643,Habo,B,M,C,L,KD,,,,,
1996,643,Habo,B,M,C,L,KD,,,,,
1997,643,Habo,B,M,C,L,KD,,,,,
1994,662,Gislaved,BL,,C,,,S,,MP,,
1995,662,Gislaved,BL,,C,,,S,,MP,,
1996,662,Gislaved,BL,,C,,,S,,MP,,
1997,662,Gislaved,BL,,C,,,S,,MP,,
1994,665,Vaggeryd,B,M,C,L,KD,,,,,
1995,665,Vaggeryd,B,M,C,L,KD,,,,,
1996,665,Vaggeryd,B,M,C,L,KD,,,,,
1997,665,Vaggeryd,B,M,C,L,KD,,,,,
1994,680,Jönköping,BL,,C,,,S,,,,
1995,680,Jönköping,BL,,C,,,S,,,,
1996,680,Jönköping,BL,,C,,,S,,,,
1997,680,Jönköping,BL,,C,,,S,,,,
1994,682,Nässjö,BL,,C,L,,S,,,,
1995,682,Nässjö,BL,,C,L,,S,,,,
1996,682,Nässjö,BL,,C,L,,S,,,,
1997,682,Nässjö,BL,,C,L,,S,,,,
1994,683,Värnamo,B,M,C,,KD,,,,,
1995,683,Värnamo,B,M,C,,KD,,,,,
1996,683,Värnamo,B,M,C,,KD,,,,,
1997,683,Värnamo,B,M,C,,KD,,,,,
1994,684,Sävsjö,B,M,C,,KD,,,,,
1995,684,Sävsjö,B,M,C,,KD,,,,,
1996,684,Sävsjö,B,M,C,,KD,,,,,
1997,684,Sävsjö,B,M,C,,KD,,,,,
1994,685,Vetlanda,B,M,C,L,KD,,,,,
1995,685,Vetlanda,B,M,C,L,KD,,,,,
1996,685,Vetlanda,B,M,C,L,KD,,,,,
1997,685,Vetlanda,B,M,C,L,KD,,,,,
1994,686,Eksjö,BL,,,,,,,,,
1995,686,Eksjö,BL,,,,,,,,,
1996,686,Eksjö,BL,,,,,,,,,
1997,686,Eksjö,BL,,,,,,,,,
1994,687,Tranås,V,,,,,S,,,,
1995,687,Tranås,V,,,,,S,,,,
1996,687,Tranås,V,,,,,S,,,,
1997,687,Tranås,V,,,,,S,,,,
1994,760,Uppvidinge,V,,,,,S,V,,,
1995,760,Uppvidinge,V,,,,,S,V,,,
1996,760,Uppvidinge,V,,,,,S,V,,,
1997,760,Uppvidinge,V,,,,,S,V,,,
1994,761,Lessebo,V,,,,,S,,,,
1995,761,Lessebo,V,,,,,S,,,,
1996,761,Lessebo,V,,,,,S,,,,
1997,761,Lessebo,V,,,,,S,,,,
1994,763,Tingsryd,B,M,C,L,KD,,,,,
1995,763,Tingsryd,B,M,C,L,KD,,,,,
1996,763,Tingsryd,B,M,C,L,KD,,,,,
1997,763,Tingsryd,B,M,C,L,KD,,,,,
1994,764,Alvesta,BL,,C,,,S,,,,
1995,764,Alvesta,BL,,C,,,S,,,,
1996,764,Alvesta,BL,,C,,,S,,,,
1997,764,Alvesta,BL,,C,,,S,,,,
1994,765,Älmhult,V,,,,,S,V,MP,,
1995,765,Älmhult,V,,,,,S,V,MP,,
1996,765,Älmhult,V,,,,,S,V,MP,,
1997,765,Älmhult,V,,,,,S,V,MP,,
1994,767,Mark,BL,M,C,L,KD,S,,,,
1995,767,Mark,BL,M,C,L,KD,S,,,,
1996,767,Mark,BL,M,C,L,KD,S,,,,
1997,767,Mark,BL,M,C,L,KD,S,,,,
1994,780,Växjö,V,,,,,S,V,MP,,
1995,780,Växjö,V,,,,,S,V,MP,,
1996,780,Växjö,V,,,,,S,V,MP,,
1997,780,Växjö,V,,,,,S,V,MP,,
1994,781,Ljungby,BL,,C,L,,S,,,,
1995,781,Ljungby,BL,,C,L,,S,,,,
1996,781,Ljungby,BL,,C,L,,S,,,,
1997,781,Ljungby,BL,,C,L,,S,,,,
1994,821,Högsby,B,M,C,L,KD,,,MP,,
1995,821,Högsby,B,M,C,L,KD,,,MP,,
1996,821,Högsby,B,M,C,L,KD,,,MP,,
1997,821,Högsby,B,M,C,L,KD,,,MP,,
1994,834,Torsås,B,M,C,L,KD,,,MP,,
1995,834,Torsås,B,M,C,L,KD,,,MP,,
1996,834,Torsås,B,M,C,L,KD,,,MP,,
1997,834,Torsås,B,M,C,L,KD,,,MP,,
1994,840,Mörbylånga,B,M,C,L,KD,,,MP,,
1995,840,Mörbylånga,B,M,C,L,KD,,,MP,,
1996,840,Mörbylånga,B,M,C,L,KD,,,MP,,
1997,840,Mörbylånga,B,M,C,L,KD,,,MP,,
1994,860,Hultsfred,V,,,,,S,V,,,
1995,860,Hultsfred,V,,,,,S,V,,,
1996,860,Hultsfred,V,,,,,S,V,,,
1997,860,Hultsfred,V,,,,,S,V,,,
1994,861,Mönsterås,B,M,C,L,KD,,,,,
1995,861,Mönsterås,B,M,C,L,KD,,,,,
1996,861,Mönsterås,B,M,C,L,KD,,,,,
1997,861,Mönsterås,B,M,C,L,KD,,,,,
1994,862,Emmaboda,V,,,,,S,V,,,
1995,862,Emmaboda,V,,,,,S,V,,,
1996,862,Emmaboda,V,,,,,S,V,,,
1997,862,Emmaboda,V,,,,,S,V,,,
1994,880,Kalmar,V,,,,,S,V,,,
1995,880,Kalmar,V,,,,,S,V,,,
1996,880,Kalmar,V,,,,,S,V,,,
1997,880,Kalmar,V,,,,,S,V,,,
1994,881,Nybro,V,,,,,S,V,,,
1995,881,Nybro,V,,,,,S,V,,,
1996,881,Nybro,V,,,,,S,V,,,
1997,881,Nybro,V,,,,,S,V,,,
1994,882,Oskarshamn,V,,,,,S,,,,
1995,882,Oskarshamn,V,,,,,S,,,,
1996,882,Oskarshamn,V,,,,,S,,,,
1997,882,Oskarshamn,V,,,,,S,,,,
1994,883,Västervik,V,,,,,S,,,,
1995,883,Västervik,V,,,,,S,,,,
1996,883,Västervik,V,,,,,S,,,,
1997,883,Västervik,V,,,,,S,,,,
1994,884,Vimmerby,B,M,C,L,KD,,,,,
1995,884,Vimmerby,B,M,C,L,KD,,,,,
1996,884,Vimmerby,B,M,C,L,KD,,,,,
1997,884,Vimmerby,B,M,C,L,KD,,,,,
1994,885,Borgholm,BL,M,,,,S,,,,
1995,885,Borgholm,BL,M,,,,S,,,,
1996,885,Borgholm,BL,M,,,,S,,,,
1997,885,Borgholm,BL,M,,,,S,,,,
1994,980,Gotland,V,,,,,S,V,MP,,
1995,980,Gotland,V,,,,,S,V,MP,,
1996,980,Gotland,V,,,,,S,V,MP,,
1997,980,Gotland,V,,,,,S,V,MP,,
1994,1060,Olofström,V,,,,,S,,,,
1995,1060,Olofström,V,,,,,S,,,,
1996,1060,Olofström,V,,,,,S,,,,
1997,1060,Olofström,V,,,,,S,,,,
1994,1080,Karlskrona,V,,,,,S,V,,,
1995,1080,Karlskrona,V,,,,,S,V,,,
1996,1080,Karlskrona,V,,,,,S,V,,,
1997,1080,Karlskrona,V,,,,,S,V,,,
1994,1081,Ronneby,V,,,,,S,V,,,
1995,1081,Ronneby,V,,,,,S,V,,,
1996,1081,Ronneby,V,,,,,S,V,,,
1997,1081,Ronneby,V,,,,,S,V,,,
1994,1082,Karlshamn,V,,,,,S,,,,
1995,1082,Karlshamn,V,,,,,S,,,,
1996,1082,Karlshamn,V,,,,,S,,,,
1997,1082,Karlshamn,V,,,,,S,,,,
1994,1083,Sölvesborg,V,,,,,S,,,,
1995,1083,Sölvesborg,V,,,,,S,,,,
1996,1083,Sölvesborg,V,,,,,S,,,,
1997,1083,Sölvesborg,V,,,,,S,,,,
1994,1214,Svalöv,V,,,,,S,,MP,,
1995,1214,Svalöv,V,,,,,S,,MP,,
1996,1214,Svalöv,V,,,,,S,,MP,,
1997,1214,Svalöv,V,,,,,S,,MP,,
1994,1230,Staffanstorp,BL,,,L,,S,,,,
1995,1230,Staffanstorp,BL,,,L,,S,,,,
1996,1230,Staffanstorp,BL,,,L,,S,,,,
1997,1230,Staffanstorp,BL,,,L,,S,,,,
1994,1231,Burlöv,V,,,,,S,,,,
1995,1231,Burlöv,V,,,,,S,,,,
1996,1231,Burlöv,V,,,,,S,,,,
1997,1231,Burlöv,V,,,,,S,,,,
1994,1233,Vellinge,B,M,,,,,,,,
1995,1233,Vellinge,B,M,,,,,,,,
1996,1233,Vellinge,B,M,,,,,,,,
1997,1233,Vellinge,B,M,,,,,,,,
1994,1256,Östra Göinge,V,,,,,S,,,,
1995,1256,Östra Göinge,V,,,,,S,,,,
1996,1256,Östra Göinge,V,,,,,S,,,,
1997,1256,Östra Göinge,V,,,,,S,,,,
1994,1257,Örkelljunga,B,M,C,L,KD,,,,,
1995,1257,Örkelljunga,B,M,C,L,KD,,,,,
1996,1257,Örkelljunga,B,M,C,L,KD,,,,,
1997,1257,Örkelljunga,B,M,C,L,KD,,,,,
1994,1260,Bjuv,V,,,,,S,,,,
1995,1260,Bjuv,V,,,,,S,,,,
1996,1260,Bjuv,V,,,,,S,,,,
1997,1260,Bjuv,V,,,,,S,,,,
1994,1261,Kävlinge,V,,,,,S,,,,
1995,1261,Kävlinge,V,,,,,S,,,,
1996,1261,Kävlinge,V,,,,,S,,,,
1997,1261,Kävlinge,V,,,,,S,,,,
1994,1262,Lomma,B,M,C,L,KD,,,,,
1995,1262,Lomma,B,M,C,L,KD,,,,,
1996,1262,Lomma,B,M,C,L,KD,,,,,
1997,1262,Lomma,B,M,C,L,KD,,,,,
1994,1263,Svedala,BL,,,L,,S,,MP,,
1995,1263,Svedala,BL,,,L,,S,,MP,,
1996,1263,Svedala,BL,,,L,,S,,MP,,
1997,1263,Svedala,BL,,,L,,S,,MP,,
1994,1264,Skurup,V,,,,,S,,,,
1995,1264,Skurup,V,,,,,S,,,,
1996,1264,Skurup,V,,,,,S,,,,
1997,1264,Skurup,V,,,,,S,,,,
1994,1265,Sjöbo,B,M,C,L,,,,,,ÖP
1995,1265,Sjöbo,B,M,C,L,,,,,,ÖP
1996,1265,Sjöbo,B,M,C,L,,,,,,ÖP
1997,1265,Sjöbo,B,M,C,L,,,,,,ÖP
1994,1266,Hörby,B,M,C,L,KD,,,,,
1995,1266,Hörby,B,M,C,L,KD,,,,,
1996,1266,Hörby,B,M,C,L,KD,,,,,
1997,1266,Hörby,B,M,C,L,KD,,,,,
1994,1267,Höör,B,M,,L,KD,,,,,
1995,1267,Höör,B,M,,L,KD,,,,,
1996,1267,Höör,B,M,,L,KD,,,,,
1997,1267,Höör,B,M,,L,KD,,,,,
1994,1270,Tomelilla,BL,,,L,,S,,MP,,
1995,1270,Tomelilla,BL,,,L,,S,,MP,,
1996,1270,Tomelilla,BL,,,L,,S,,MP,,
1997,1270,Tomelilla,BL,,,L,,S,,MP,,
1994,1272,Bromölla,V,,,,,S,,,,
1995,1272,Bromölla,V,,,,,S,,,,
1996,1272,Bromölla,V,,,,,S,,,,
1997,1272,Bromölla,V,,,,,S,,,,
1994,1273,Osby,V,,,,,S,,,,ÖP
1995,1273,Osby,V,,,,,S,,,,ÖP
1996,1273,Osby,V,,,,,S,,,,ÖP
1997,1273,Osby,V,,,,,S,,,,ÖP
1994,1275,Perstorp,V,,,,,S,V,,,
1995,1275,Perstorp,V,,,,,S,V,,,
1996,1275,Perstorp,V,,,,,S,V,,,
1997,1275,Perstorp,V,,,,,S,V,,,
1994,1276,Klippan,BL,,,L,,S,,,,
1995,1276,Klippan,BL,,,L,,S,,,,
1996,1276,Klippan,BL,,,L,,S,,,,
1997,1276,Klippan,BL,,,L,,S,,,,
1994,1277,Åstorp,V,,,,,S,,,,
1995,1277,Åstorp,V,,,,,S,,,,
1996,1277,Åstorp,V,,,,,S,,,,
1997,1277,Åstorp,V,,,,,S,,,,
1994,1278,Båstad,BL,,C,L,,S,,,,
1995,1278,Båstad,BL,,C,L,,S,,,,
1996,1278,Båstad,BL,,C,L,,S,,,,
1997,1278,Båstad,BL,,C,L,,S,,,,
1994,1280,Malmö,V,,,,,S,,,,
1995,1280,Malmö,V,,,,,S,,,,
1996,1280,Malmö,V,,,,,S,,,,
1997,1280,Malmö,V,,,,,S,,,,
1994,1281,Lund,V,,,,,S,V,MP,,
1995,1281,Lund,V,,,,,S,V,MP,,
1996,1281,Lund,V,,,,,S,V,MP,,
1997,1281,Lund,V,,,,,S,V,MP,,
1994,1282,Landskrona,V,,,,,S,,,,
1995,1282,Landskrona,V,,,,,S,,,,
1996,1282,Landskrona,V,,,,,S,,,,
1997,1282,Landskrona,V,,,,,S,,,,
1994,1283,Helsingborg,V,,,,,S,V,,,
1995,1283,Helsingborg,V,,,,,S,V,,,
1996,1283,Helsingborg,V,,,,,S,V,,,
1997,1283,Helsingborg,V,,,,,S,V,,,
1994,1284,Höganäs,BL,,,L,,S,V,MP,,
1995,1284,Höganäs,BL,,,L,,S,V,MP,,
1996,1284,Höganäs,BL,,,L,,S,V,MP,,
1997,1284,Höganäs,BL,,,L,,S,V,MP,,
1994,1285,Eslöv,V,,,,,S,,,,
1995,1285,Eslöv,V,,,,,S,,,,
1996,1285,Eslöv,V,,,,,S,,,,
1997,1285,Eslöv,V,,,,,S,,,,
1994,1286,Ystad,V,,,,,S,V,MP,,
1995,1286,Ystad,V,,,,,S,V,MP,,
1996,1286,Ystad,V,,,,,S,V,MP,,
1997,1286,Ystad,V,,,,,S,V,MP,,
1994,1287,Trelleborg,V,,,,,S,,,,
1995,1287,Trelleborg,V,,,,,S,,,,
1996,1287,Trelleborg,V,,,,,S,,,,
1997,1287,Trelleborg,V,,,,,S,,,,
1994,1290,Kristianstad,V,,,,,S,,,,
1995,1290,Kristianstad,V,,,,,S,,,,
1996,1290,Kristianstad,V,,,,,S,,,,
1997,1290,Kristianstad,V,,,,,S,,,,
1994,1291,Simrishamn,BL,,C,,,S,,,,
1995,1291,Simrishamn,BL,,C,,,S,,,,
1996,1291,Simrishamn,BL,,C,,,S,,,,
1997,1291,Simrishamn,BL,,C,,,S,,,,
1994,1292,Ängelholm,B,M,C,L,,,,,,
1995,1292,Ängelholm,B,M,C,L,,,,,,
1996,1292,Ängelholm,B,M,C,L,,,,,,
1997,1292,Ängelholm,B,M,C,L,,,,,,
1994,1293,Hässleholm,BL,,C,,,S,,,,
1995,1293,Hässleholm,BL,,C,,,S,,,,
1996,1293,Hässleholm,BL,,C,,,S,,,,
1997,1293,Hässleholm,BL,,C,,,S,,,,
1994,1315,Hylte,BL,,C,,,S,,,,
1995,1315,Hylte,BL,,C,,,S,,,,
1996,1315,Hylte,BL,,C,,,S,,,,
1997,1315,Hylte,BL,,C,,,S,,,,
1994,1380,Halmstad,V,,,,,S,V,,,
1995,1380,Halmstad,V,,,,,S,V,,,
1996,1380,Halmstad,V,,,,,S,V,,,
1997,1380,Halmstad,V,,,,,S,V,,,
1994,1381,Laholm,B,M,C,L,KD,,,,,ÖP
1995,1381,Laholm,B,M,C,L,KD,,,,,ÖP
1996,1381,Laholm,B,M,C,L,KD,,,,,ÖP
1997,1381,Laholm,B,M,C,L,KD,,,,,ÖP
1994,1382,Falkenberg,V,,,,,S,,MP,,ÖP
1995,1382,Falkenberg,V,,,,,S,,MP,,ÖP
1996,1382,Falkenberg,V,,,,,S,,MP,,ÖP
1997,1382,Falkenberg,V,,,,,S,,MP,,ÖP
1994,1383,Varberg,V,,,,,S,V,MP,,
1995,1383,Varberg,V,,,,,S,V,MP,,
1996,1383,Varberg,V,,,,,S,V,MP,,
1997,1383,Varberg,V,,,,,S,V,MP,,
1994,1384,Kungsbacka,BL,,,,,,,,,
1995,1384,Kungsbacka,BL,,,,,,,,,
1996,1384,Kungsbacka,BL,,,,,,,,,
1997,1384,Kungsbacka,BL,,,,,,,,,
1994,1401,Härryda,BL,,C,,,S,V,MP,,
1995,1401,Härryda,BL,,C,,,S,V,MP,,
1996,1401,Härryda,BL,,C,,,S,V,MP,,
1997,1401,Härryda,BL,,C,,,S,V,MP,,
1994,1402,Partille,V,,,,,S,V,MP,,
1995,1402,Partille,V,,,,,S,V,MP,,
1996,1402,Partille,V,,,,,S,V,MP,,
1997,1402,Partille,V,,,,,S,V,MP,,
1994,1407,Öckerö,B,M,C,L,KD,,,,,
1995,1407,Öckerö,B,M,C,L,KD,,,,,
